# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 2024fyi
# CHANNEL = B+R
# EXPNUM = 24_100_027_003
# MJD-OBS = 60409.361522
# DATE-OBS = 2024-04-09T08:40:37
# EXPTIME = 1800.0s
# AIRMASS = 1.05
# FLUXCAL_RMS_B = 0.082 mag
# FLUXCAL_RMS_R = 0.069 mag
# RA = 12:29:38.33
# DEC = 32:45:21.92
# wl fl err
# [A] [erg/s/cm2/A]
3802.480000 5.312678e-16 2.658013e-17
3805.480000 5.396291e-16 2.885352e-17
3808.480000 5.464178e-16 2.806289e-17
3811.480000 5.001577e-16 2.536481e-17
3814.480000 4.697089e-16 2.702528e-17
3817.480000 5.587171e-16 2.938534e-17
3820.480000 6.067507e-16 2.785077e-17
3823.480000 5.510002e-16 2.573729e-17
3826.480000 5.237209e-16 2.783120e-17
3829.480000 5.328152e-16 3.033292e-17
3832.480000 5.919810e-16 3.146842e-17
3835.480000 6.178350e-16 3.006680e-17
3838.480000 6.123213e-16 2.895979e-17
3841.480000 5.576627e-16 2.932510e-17
3844.480000 5.698999e-16 2.658918e-17
3847.480000 6.132696e-16 2.593898e-17
3850.480000 6.376919e-16 2.920333e-17
3853.480000 5.726140e-16 2.897531e-17
3856.480000 5.291163e-16 2.534789e-17
3859.480000 5.728700e-16 2.550978e-17
3862.480000 5.760985e-16 2.876579e-17
3865.480000 5.507194e-16 2.818663e-17
3868.480000 5.329370e-16 2.470914e-17
3871.480000 5.143055e-16 2.506589e-17
3874.480000 5.193659e-16 2.770878e-17
3877.480000 5.134951e-16 2.688338e-17
3880.480000 5.255934e-16 2.385497e-17
3883.480000 5.060810e-16 2.494617e-17
3886.480000 5.091411e-16 2.720423e-17
3889.480000 5.368450e-16 2.574651e-17
3892.480000 5.657786e-16 2.372988e-17
3895.480000 4.781846e-16 2.515845e-17
3898.480000 4.208946e-16 2.633966e-17
3901.480000 4.308063e-16 2.425332e-17
3904.480000 5.138719e-16 2.297614e-17
3907.480000 5.655938e-16 2.551557e-17
3910.480000 5.268261e-16 2.607742e-17
3913.480000 4.607767e-16 2.345607e-17
3916.480000 4.450215e-16 2.266855e-17
3919.480000 4.994504e-16 2.562581e-17
3922.480000 5.553107e-16 2.596800e-17
3925.480000 4.952913e-16 2.266137e-17
3928.480000 4.983580e-16 2.227533e-17
3931.480000 4.801544e-16 2.504458e-17
3934.480000 4.972263e-16 2.513200e-17
3937.480000 4.970391e-16 2.190037e-17
3940.480000 4.871884e-16 2.224770e-17
3943.480000 4.902033e-16 2.488473e-17
3946.480000 5.034315e-16 2.439714e-17
3949.480000 5.595023e-16 2.224084e-17
3952.480000 6.024873e-16 2.327340e-17
3955.480000 5.588467e-16 2.474206e-17
3958.480000 4.966445e-16 2.343041e-17
3961.480000 5.467596e-16 2.179187e-17
3964.480000 5.364928e-16 2.335534e-17
3967.480000 5.195383e-16 2.498029e-17
3970.480000 5.020228e-16 2.364982e-17
3973.480000 4.794543e-16 2.287110e-17
3976.480000 4.913128e-16 2.411469e-17
3979.480000 5.139288e-16 2.487016e-17
3982.480000 5.851560e-16 2.296242e-17
3985.480000 5.408645e-16 2.194281e-17
